id,added,manager,contragent,task,confirmed,master,done,canceled,userc,more,status,location
1,23.03.2023 09:26,5850789657,305544054,подключение ноутбука,23.03.2023 15:24,685927410,25.03.2023 13:35,,,,3,
2,23.03.2023 09:31,5195792294,207300652,для IT отдела : Проблема с ПК,24.03.2023 10:54,685927410,24.03.2023 16:19,,,,3,
3,23.03.2023 09:45,65241621,202099756,"Заявка №49690 от Korzinka Kohinur
Заправка принтера
974549868 Зульфизар",23.03.2023 10:00,5057169611,23.03.2023 13:14,,,,3,
4,23.03.2023 09:49,65241621,202099756,"Заявка №49688 от Korzinka Sampi mall
Заправка принтера canon 2206
998514901 Бехруз",23.03.2023 09:53,821636275,23.03.2023 12:45,,,,3,
5,23.03.2023 10:29,5850789657,306827563,canon 443 7,23.03.2023 12:55,596759592,23.03.2023 16:30,,,,3,
6,23.03.2023 10:45,5195792294,305440557,"Заправка Canon mf 113w-1
canon mf 3010-1",23.03.2023 12:19,563934644,23.03.2023 16:16,,,,3,
7,23.03.2023 10:50,5850789657,205529921,нет интернета,,,,24.03.2023 15:59,5850789657,все заработало,4,
8,23.03.2023 11:30,5195792294,306799489,"Карифур Караташ (склад)
заправвка canon 325 
987001884 Алишер
977494977",23.03.2023 12:19,563934644,23.03.2023 16:55,,,,3,
9,23.03.2023 11:48,5195792294,307224657,"canon mf 237 
canon 2900
несколько картриджей 
( дог 469 от 05,08,2021г )",24.03.2023 08:08,596759592,24.03.2023 10:06,,,,3,
10,23.03.2023 12:23,5195792294,309816234,"canon 453  epson l805
дог долг 502 от 20,09,2022",23.03.2023 16:56,563934644,24.03.2023 10:53,,,,3,
11,23.03.2023 12:31,5195792294,309601850,"HP 136x - 3 
( Дог разов. ИНН:  309601850 )",24.03.2023 12:30,432066117,24.03.2023 14:51,,,,3,
12,23.03.2023 13:17,821636275,202099756,"49703 Корзинка ттз. Заправка принтера.
Гульноза 90175418й",23.03.2023 13:20,821636275,23.03.2023 16:08,,,,3,
13,23.03.2023 13:20,5850789657,308352839,замена картриджа canon 2900-1 и еще после заправки принтер полосит модель canon 633,25.03.2023 09:02,432066117,25.03.2023 13:49,,,"Мастер Собитов Рахматилла принял заявку 24.03.2023 16:43.
 24.03.2023 19:00отказался от выполнения",3,
14,23.03.2023 13:55,5850789657,301107892,"заправка canon 3010-1
4410-1",24.03.2023 08:25,432066117,24.03.2023 12:27,,,,3,
15,23.03.2023 13:57,5195792294,207240048,"Замена Экспресс картриджей просили Срочно!!!
057-7
505-3
737-2",23.03.2023 14:00,301781583,23.03.2023 16:50,,,,3,
16,23.03.2023 14:11,5195792294,305989514,"canon lbp621cw 
(Дог 462 от 24.07.2021)",25.03.2023 14:03,432066117,27.03.2023 08:43,,,,3,
17,23.03.2023 14:27,821636275,202099756,"49706 корзинка qaratosh
947300774 Дильшод
Не работает принтер у товароведа",23.03.2023 14:30,5057169611,23.03.2023 16:45,,,,3,
18,23.03.2023 14:38,5195792294,307735227,Установка MS Office на два ноутбука (разовый договор),27.03.2023 12:03,685927410,27.03.2023 17:25,,,,3,
19,23.03.2023 15:03,5850789657,202545501,заправка canon 244,24.03.2023 19:01,563934644,24.03.2023 19:01,,,"Мастер Собитов Рахматилла принял заявку 23.03.2023 16:57.
 24.03.2023 16:59отказался от выполнения",3,
20,23.03.2023 15:09,5195792294,309524550,"Canon 653-2 
(Дог долг 70 от 01,02,2023)",24.03.2023 15:59,432066117,25.03.2023 09:02,,,,3,
21,23.03.2023 15:25,5195792294,305960259,"Заправка Canon 643 посмотреть и другие принтера (дог долг 136 от 28,02,2022)",24.03.2023 17:07,596759592,24.03.2023 17:07,,,,3,
22,23.03.2023 15:42,65241621,202099756,"Заявка №49703 Корзинка ТТЗ
Заправка принтера
Гулноза +998901754181",23.03.2023 16:06,821636275,24.03.2023 06:55,,,,3,
23,23.03.2023 15:59,5195792294,207153599,"Замена блока питания ПК
(дог № 25 от 19.01.2022)",,,,27.03.2023 12:03,685927410,Все заработало,4,
24,23.03.2023 16:21,563934644,207002342,"Замена картриджей 057-2шт
Замена картриджей 047-1шт",23.03.2023 16:24,563934644,23.03.2023 16:25,,,,3,
25,24.03.2023 06:47,821636275,202099756,"49708
Fayzobod Rc
Donier 935371051
 Ремонт принтера",24.03.2023 07:54,5057169611,24.03.2023 10:13,,,,3,
26,24.03.2023 06:50,821636275,202099756,"49736 Qoratosh
998530908 Дилафруз
Заправка принтера. Заведующий магазина.",24.03.2023 08:25,563934644,24.03.2023 10:56,,,,3,
27,24.03.2023 08:27,563934644,309882907,"Заправка картриджей цветных-2комплект 
Проблема со струйником печатает плохо",24.03.2023 08:31,563934644,24.03.2023 18:59,,,,3,
28,24.03.2023 09:38,5195792294,200638670,"Головной офис (2этаж)
Epson 3170 
canon mf 3010 +1 нов картридж
спросите в друг каб тоже
+998909909369",25.03.2023 13:33,596759592,25.03.2023 13:34,,,,3,
29,24.03.2023 09:47,5195792294,306799489,"Каррифур Чиланзар Медиапарк (офис)
Epson l 805 (черный и желтый)",25.03.2023 11:10,563934644,25.03.2023 11:10,,,,3,
30,24.03.2023 09:50,5195792294,306799489,"Каррифур Самарканд Дарвоза  (касса) 
Hp 607 (возможно застряла бумага) 
+998998974333 Дильноза",24.03.2023 18:32,596759592,24.03.2023 18:32,,,,3,
31,24.03.2023 10:11,5195792294,207240048,Замена ЕК О57-9шт,25.03.2023 09:29,301781583,25.03.2023 09:30,,,,3,
32,24.03.2023 10:48,5195792294,206660769,"где ООО ""Technopak Systems"" , на 3 этаже 
canon 3010-2
( дог разов)",24.03.2023 15:58,432066117,24.03.2023 16:21,,,,3,
33,24.03.2023 11:28,5850789657,206937019,проблемы с пк,24.03.2023 11:29,685927410,24.03.2023 13:39,,,,3,
34,24.03.2023 14:43,5195792294,201103878,"Сanon 6020
(дог №96 от 11.01.2020г.)",25.03.2023 11:36,5057169611,25.03.2023 11:37,,,,3,
35,24.03.2023 15:16,5850789657,207154866,заправка картриджей,25.03.2023 09:14,596759592,25.03.2023 10:22,,,,3,
36,24.03.2023 15:17,5850789657,206802692,заправка картриджей 3шт,25.03.2023 09:03,432066117,25.03.2023 12:18,,,,3,
37,24.03.2023 17:39,5850789657,204815109,заправка canon 231 каб 409 женский отдел,25.03.2023 11:10,563934644,25.03.2023 11:33,,,,3,
